id_pais,pais,,departamento,,nombre_completo,,organizacion_politica,,cargo
,Bolivia,,La Paz,,LEOPOLDO RICHARD CHUI TORREZ,,JUNTOS AL LLAMADO DE LOS PUEBLOS,,Gobernador
,Bolivia,,La Paz,,RICHARD ANDRES GOMEZ VELA,,VENCEREMOS,,Gobernador
,Bolivia,,La Paz,,AUGUSTO SATURNINO OBLITAS GARCIA,,ALIANZA SOCIAL PATRIOTICA,,Gobernador
,Bolivia,,La Paz,,INGVAR ELLEFSEN DOTZAUER,,SOMOS LA PAZ,,Gobernador
,Bolivia,,La Paz,,SANTOS QUISPE QUISPE,,UNION POR EL CAMBIO,,Gobernador
,Bolivia,,La Paz,,DEMETRIO VILLCA ORDOÑEZ,,ALIANZA UNIDOS POR LOS PUEBLOS,,Gobernador
,Bolivia,,La Paz,,GERMAN ANTONIO RIVEROS PILCO,,INNOVACION HUMANA,,Gobernador
,Bolivia,,La Paz,,GUALBERTO CUSI MAMANI,,ACCION DEMOCRATICA NACIONALISTA,,Gobernador
,Bolivia,,La Paz,,FIDEL CHURA CHAVEZ,,FRENTE REVOLUCIONARIO DE IZQUIERDA,,Gobernador
,Bolivia,,La Paz,,ORLANDO CALLISAYA COPANA,,PARTIDO DEMOCRATA CRISTIANO,,Gobernador
,Bolivia,,La Paz,,RAFAEL ARCANGEL QUISPE FLORES,,UNIDAD CIVICA SOLIDARIDAD,,Gobernador
,Bolivia,,La Paz,,FELIX PATZI PACO,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,La Paz,,LUIS ANTONIO REVILLA HERRERO,,ALIANZA PATRIA SOL,,Gobernador
,Bolivia,,La Paz,,RENE YAHUASI CALAMANI,,NUEVA GENERACIÓN PATRIÓTICA,,Gobernador
,Bolivia,,La Paz,,CLEMENTE GUTIERREZ MAMANI,,MOVIMIENTO POR LA SOBERANIA,,Gobernador
,Bolivia,,La Paz,,FLAVIO MERLO,,AUTONOMÍA PARA BOLIVIA SÚMATE,,Gobernador
,Bolivia,,La Paz,,KURT REINSCHT,,LIBRE,,Gobernador
,Bolivia,,Chuquisaca,,DORFIO MANSILLA AVENDAÑO,,POR SIEMPRE CHUQUISACA,,Gobernador
,Bolivia,,Chuquisaca,,LUIS EDSON AYLLON SALGUEIRO,,ALIANZA GENTE NUEVA,,Gobernador
,Bolivia,,Chuquisaca,,MANFRED LEO PEREZ HASSENTEUFEL,,NUEVA GENERACIÓN PATRIÓTICA,,Gobernador
,Bolivia,,Chuquisaca,,GROVER FRANZ GARCIA CAMACHO,,ALIANZA PATRIA UNIDOS,,Gobernador
,Bolivia,,Chuquisaca,,MARIO SEÑA APAZA,,ALIANZA UNIDOS POR LOS PUEBLOS,,Gobernador
,Bolivia,,Tarija,,MARIO ADEL COSSIO CORTEZ,,CAMINO DEMOCRATICO PARA EL CAMBIO,,Gobernador
,Bolivia,,Tarija,,DANIEL CENTENO SANCHEZ,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Tarija,,NEVER AGUSTIN ANTELO CORTEZ,,NUEVA GENERACIÓN PATRIÓTICA,,Gobernador
,Bolivia,,Tarija,,ADRIAN ESTEBAN OLIVA ALCAZAR,,UNIDAD POR LA PATRIA,,Gobernador
,Bolivia,,Tarija,,RICHARD ROCHA,,PARTIDO DEMOCRATA CRISTIANO,,Gobernador
,Bolivia,,Cochabamba,,REMIGIO ANCALLE CHOQUE,,ACCION DEMOCRATICA NACIONALISTA,,Gobernador
,Bolivia,,Cochabamba,,RUTH ALINA PERALTA CALVIMONTES,,FRENTE REVOLUCIONARIO DE IZQUIERDA,,Gobernador
,Bolivia,,Cochabamba,,ALEJANDRO MOSTAJO RUEDA,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Cochabamba,,JHON ARIEL RIOJA GUZMAN,,NUEVA GENERACIÓN PATRIÓTICA,,Gobernador
,Bolivia,,Cochabamba,,JUAN ROBERTH FLORES ENCINAS,,LIBERTAD Y REPÚBLICA,,Gobernador
,Bolivia,,Cochabamba,,WILFREDO ROLANDO MORALES ZEBALLOS,,ALIANZA PATRIA UNIDOS,,Gobernador
,Bolivia,,Cochabamba,,MARIO ENRIQUE SEVERICH BUSTAMANTE,,SOLUCIONES CON TODOS,,Gobernador
,Bolivia,,Cochabamba,,SERGIO OLIVER RODRIGUEZ MERCADO,,AUTONOMÍA PARA BOLIVIA SÚMATE,,Gobernador
,Bolivia,,Cochabamba,,ESTHER SORIA GONZALES,,UNIDOS-,,Gobernador
,Bolivia,,Oruro,,SANTIAGO SAUCIRI MARTINEZ,,FRENTE REVOLUCIONARIO DE IZQUIERDA,,Gobernador
,Bolivia,,Oruro,,BETTY ZENTENO TITO,,UNIDAD CIVICA SOLIDARIDAD,,Gobernador
,Bolivia,,Oruro,,EDDGAR SANCHEZ AGUIRRE,,JACH'A - JAKISA - SOL - FESORC,,Gobernador
,Bolivia,,Oruro,,RUBEN GUTIERREZ CARRIZO,,ALIANZA ORURO AVANZA,,Gobernador
,Bolivia,,Oruro,,ISAR MILTON CACERES RIOS,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Oruro,,JUAN SAUL GARCIA SALAZAR,,NUEVA GENERACIÓN PATRIÓTICA,,Gobernador
,Bolivia,,Oruro,,OSCAR CHAMBI CALLAPA,,ALIANZA PATRIA ORURO,,Gobernador
,Bolivia,,Oruro,,JOHNNY FRANKLIN VEDIA RODRIGUEZ,,ALIANZA UNIDOS POR LOS PUEBLOS,,Gobernador
,Bolivia,,Oruro,,RUBÉN GUTIÉRREZ CARRIZO,,ALIANZA ORURO AVANZA – AORA,,Gobernador
,Bolivia,,Oruro,,SAMUEL MENDIZABAL,,AUTONOMÍA PARA BOLIVIA SÚMATE – APB-SÚMATE,,Gobernador
,Bolivia,,Oruro,,SANTIAGO SAUCIRI,,FRENTE REVOLUCIONARIO DE IZQUIERDA – FRI,,Gobernador
,Bolivia,,Oruro,,EDGAR SÁNCHEZ,,JACH’A-SOL,,Gobernador
,Bolivia,,Oruro,,SAÚL SÁNCHEZ,,LIBRE,,Gobernador
,Bolivia,,Oruro,,ISAR MILTON CÁCERES,,MOVIMIENTO TERCER SISTEMA – MTS,,Gobernador
,Bolivia,,Oruro,,JUAN GARCÍA,,NUEVA GENERACIÓN PATRIÓTICA – NGP,,Gobernador
,Bolivia,,Oruro,,IVÁN RODRÍGUEZ,,PARTICIPACIÓN POPULAR – PP,,Gobernador
,Bolivia,,Oruro,,FREDDY CUBA,,PARTIDO DEMÓCRATA CRISTIANO – PDC,,Gobernador
,Bolivia,,Oruro,,OSCAR CHAMBI,,PATRIA,,Gobernador
,Bolivia,,Oruro,,JUAN PABLO QUISPE,,SOMOS ORURO,,Gobernador
,Bolivia,,Oruro,,LUIS ALFREDO VERGARA,,UNIDAD NACIONAL – UN,,Gobernador
,Bolivia,,Oruro,,JOHNNY FRANKLIN VEDIA,,UNIDOS POR LOS PUEBLOS – A-UPP,,Gobernador
,Bolivia,,Potosí,,JOHNNY WILBER PRADA URIBE,,MOVIMIENTO NACIONALISTA REVOLUCIONARIO,,Gobernador
,Bolivia,,Potosí,,LEANDRO SANCHEZ GALLARDO,,UNIDAD CIVICA SOLIDARIDAD,,Gobernador
,Bolivia,,Potosí,,ANIBAL GASTON FRIAS OLMOS,,FRENTE DE UNIDAD NACIONAL,,Gobernador
,Bolivia,,Potosí,,EDUARDO PACHECO COLQUE,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Potosí,,ESTANIS CONDORI CARDENAS,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Potosí,,RENE JOAQUINO CABRERA,,CONSEJO ORIGINARIO DE LA NACIÓN CHICHAS - WISIJSA,,Gobernador
,Bolivia,,Potosí,,JOSE LUIS MIRANDA QUILO,,AUTONOMÍA PARA BOLIVIA SÚMATE,,Gobernador
,Bolivia,,Potosí,,MARCO ANTONIO PUMARI ARRIAGA,,ALIANZA PROYECTO PAÍS,,Gobernador
,Bolivia,,Potosí,,FELIX SANTOS ZAMBRANA,,ALIANZA UNIDOS POR LOS PUEBLOS,,Gobernador
,Bolivia,,Potosí,,MARCO ANTONIO COPA GUTIERREZ,,ALIANZA PATRIA UNIDOS,,Gobernador
,Bolivia,,Santa Cruz,,JUAN PABLO VELASCO DALENCE,,LIBERTAD Y REPÚBLICA,,Gobernador
,Bolivia,,Santa Cruz,,JUAN CARLOS MEDRANO GONZALES,,SAO-ADN,,Gobernador
,Bolivia,,Santa Cruz,,OTTO ANDRES RITTER MENDEZ,,SANTA CRUZ PARA TODOS,,Gobernador
,Bolivia,,Santa Cruz,,MAURICIO QUEZADA MOSTAJO,,PARTIDO DEMOCRATA CRISTIANO,,Gobernador
,Bolivia,,Santa Cruz,,MIGUEL CADIMA CASTRO,,"ALIANZA TRABAJO, OBRAS, DESARROLLO INTEGRAL, OPORTUNIDADES Y SEGURIDAD",,Gobernador
,Bolivia,,Santa Cruz,,CHI HYUN CHUNG,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Santa Cruz,,VLADIMIR ARIEL PEÑA VIRHUEZ,,FUERZA Y ESPERANZA,,Gobernador
,Bolivia,,Santa Cruz,,JULIO CESAR TORREZ TAPIA,,NUEVA GENERACIÓN PATRIÓTICA,,Gobernador
,Bolivia,,Santa Cruz,,LUIS FERNANDO CAMACHO VACA,,ALIANZA CREEMOS PATRIA,,Gobernador
,Bolivia,,Santa Cruz,,GUIDO EDUARDO NAYAR PARADA,,PRIMERO SANTA CRUZ,,Gobernador
,Bolivia,,Beni,,CONSUELO NUÑEZ MOLINA,,CENTRAL DE PUEBLOS ETNICOS MOJEÑOS DEL BENI,,Gobernador
,Bolivia,,Beni,,CASTA KARINA SALINAS CURY,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Beni,,HUGO VARGAS ROCA,,MOVIMIENTO NACIONALISTA REVOLUCIONARIO,,Gobernador
,Bolivia,,Beni,,LUIS ROWERS PERDRIEL CALLEJA,,NUEVA GENERACIÓN PATRIÓTICA,,Gobernador
,Bolivia,,Beni,,JESUS EGUEZ RIVERO,,ALIANZA PATRIA UNIDOS,,Gobernador
,Bolivia,,Beni,,MARIO ALBERTO ALMEIDA SALAS,,ALIANZA UNIDOS POR LOS PUEBLOS,,Gobernador
,Bolivia,,Beni,,JOSE ALEJANDRO UNZUETA SHIRIQUI,,EL BENI SE DESARROLLA HOY,,Gobernador
,Bolivia,,Pando,,REGIS GERMAN RICHTER ALENCAR,,UNIDOS POR LA PATRIA-PRIMERO PANDO,,Gobernador
,Bolivia,,Pando,,ANA LUCIA REIS MELENA,,MOVIMIENTO TERCER SISTEMA,,Gobernador
,Bolivia,,Pando,,ABELARDO PUERTA VELASQUEZ,,MOVIMIENTO NACIONALISTA REVOLUCIONARIO,,Gobernador
,Bolivia,,Pando,,ROLY DANIEL SALDIA PUERTA,,NUEVA GENERACIÓN PATRIÓTICA,,Gobernador
,Bolivia,,Pando,,EVA LUZ HUMEREZ ALVEZ,,MOVIMIENTO DEMOCRÁTICO AUTONOMÍSTA,,Gobernador
,Bolivia,,Pando,,RODOLFO AÑEZ DOMINGUEZ,,FEDERACION SINDICAL UNICA DE TRABAJADORES CAMPESINOS DE PANDO,,Gobernador
,Bolivia,,Pando,,GABRIELA DE PAIVA PADILLA,,LIBRE PANDO,,Gobernador